"feedback","translation"
"Co znamená všechny mezi listnatým stromem a kelímkem?","What does “all the ones between the leafy tree and the cup” mean?"
"Co znamená všechny mezi kaštanem a rostlinou?","What does “all the ones between the chestnut and the plant” mean?"
"Kde je žirafa a kuřecí stehno? Vyber všechny obrázky, které jsou mezi nimi.","Where is the giraffe and the chicken drumstick? Choose all the pictures that are between them."
"Všechny mezi žirafou a kalhotami.","All the ones between the giraffe and the pants."
"Kolik tam bylo obrázků? Teď vidíš nula. Kolik jich chybí?","How many pictures were there? Now you see zero. How many are missing?"
"Co znamená všechny mezi kaštanem a jahodou?","What does all the ones between the chestnut and the strawberry mean?"
"Co znamená mezi kalhotami a jednorožcem?","What does it mean between the pants and the unicorn?"
"Do you know what two less means?","Do you know what two less means?"
"Kde je tričko a hrozen? Vyber obrázek, který je mezi nimi.","Where is the t-shirt and the bunch of grapes? Pick the picture that is between them."
"Co znamená mezi pavoukem a kalhotami?","What does it mean between the spider and the pants?"
"Když ze čtyř obrázků odečteš dva, zůstanou ti dva.","If you take away two pictures from four, you have two left."
"Všechny mezi bonbonem a melounem.","All the ones between the candy and the watermelon."
"Co znamená všechny mezi komárem a hroznem?","What does all the ones between the mosquito and the grapes mean?"
"Co znamená všechny mezi tričkem a kočkou?","What does “all between the T-shirt and the cat” mean?"
"Kde je tričko a kočka? Vyber obrázek, který je mezi nimi.","Where are the T-shirt and the cat? Choose the picture that is between them."
"Co znamená mezi brokolicí a psem?","What does “between the broccoli and the dog” mean?"
"Саарал хүрээтэйд хоёр зураг байна. Хаана хоёр зургаар илүү байна вэ?","There are two pictures with a gray border. Where are there two more pictures?"
"Що означає всі між шостою і восьмою?","What does “all between the sixth and the eighth” mean?"
"Внизу слева значит, что что-то находится совсем внизу и совсем слева.","Bottom left means something is all the way at the bottom and all the way to the left."
"Если это животное, то кто это может быть?","If it’s an animal, who could it be?"
"Все до последней.","All up to the last one."
"Меняется ли количество маленьких картинок?","Does the number of small pictures change?"
"Co znamená všechny mezi autobusem a tramvají?","What does “all between the bus and the tram” mean?"
"Všechny mezi brokolicí a mrkví.","All the ones between the broccoli and the carrot."
"Co znamená být modré?","What does it mean to be blue?"
"Kde je bonbón a zmrzlina? Vyber obrázek, který je mezi nimi.","Where is the candy and the ice cream? Choose the picture that is between them."
"What does ""select all pictures before the last picture"" mean?","What does ""select all pictures before the last picture"" mean?"
"Find the train with the sound of number two. You know for sure it has wagons with two pictures and with number two.","Find the train with the sound of number two. You know for sure it has cars with two pictures and with the number two."
"Усі картинки після першої.","All the pictures after the first one."
"Коли в червоній має бути на одну менше, то скільки має бути в синій?","If there should be one less in the red, how many should there be in the blue?"
"Порахуй малюнки. Вибери число. Запам’ятай його.","Count the pictures. Choose the number. Remember it."
"Усі між яйцем та кавуном.","All the ones between the egg and the watermelon."
"Усі між комарем і кукурудзою.","All the ones between the mosquito and the corn."
"Що означає всі між комарем та кукурудзою?","What does “all between the mosquito and the corn” mean?"
"У сірій частині є сім картинок. Де на дві картинки менше?","There are seven pictures in the gray part. Where are there two fewer pictures?"
"Kde je trumpeta a diamant? Vyber obrázky, které jsou mezi nimi.","Where is the trumpet and where is the diamond? Choose the pictures that are between them."
"Эхний зургийг аль хэдийн мэднэ. Ямар зураг яг дараагийнх вэ?","You already know the first picture. Which picture comes right after it?"
"Kde je dort a kde je salát? Vyber obrázky, které jsou mezi nimi.","Where is the cake and where is the salad? Choose the pictures that are between them."
"Усі між свічкою та діамантом.","All between the candle and the diamond."
"У обох частинах більше зображень, ніж у сірій, але тільки в одній їх рівно на два більше. Яка це?","Both parts have more pictures than the gray part, but only one has exactly two more. Which one is it?"
"Бути на траві означає лежати або рости прямо на зеленій травичці.","Being on the grass means lying or growing right on the green grass."
"Усі між яблуком та букетом.","All between the apple and the bouquet."
"Що означає всі між яблуком та букетом?","What does “all between the apple and the bouquet” mean?"
"Co znamená všechny mezi hroznem a kyticí?","What does “all between the grape and the bouquet” mean?"
"Kde je hrozen a kde je kytice? Vyber obrázky, které jsou mezi nimi.","Where is the grape and where is the bouquet? Choose the pictures that are between them."
"Kde je vejce a moucha? Vyber obrázek, který je mezi nimi.","Where is the egg and the fly? Choose the picture that is between them."
"Kde je žirafa a kelímek? Vyber obrázky, které jsou mezi nimi.","Where is the giraffe and the cup? Choose the pictures that are between them."
"Všechny mezi vejcem a dortem.","All between the egg and the cake."
"Co znamená všechny mezi ovcí a kyticí?","What does “all between the sheep and the bouquet” mean?"
"Kde je komár a kde je list? Vyber obrázky, které jsou mezi nimi.","Where is the mosquito and where is the leaf? Choose the pictures that are between them."
"Všechny mezi jablkem a bonbónem.","All between the apple and the candy."
"Kde je jablko a bonbón? Vyber obrázek, který je mezi nimi.","Where is the apple and the candy? Choose the picture that is between them."
"Všechny mezi lízátkem a kelímkem.","All the pictures between the lollipop and the cup."
"Kde je lízátko a kelímek? Vyber obrázky, které jsou mezi nimi.","Where is the lollipop and the cup? Choose the pictures that are between them."
"Všechny mezi ovcí a vrtulníkem.","All the pictures between the sheep and the helicopter."
"Všechny mezi divokým prasetem a králíkem.","All the pictures between the wild boar and the rabbit."
"Co znamená mezi divokým prasetem a králíkem?","What does “between the wild boar and the rabbit” mean?"
"Trong hộp màu xám có một bức tranh. Hộp nào có nhiều hơn một bức tranh?","There is one picture in the gray box. Which box has more than one picture?"
"Kde je pavouk a květina? Vyber všechny obrázky, které jsou mezi nimi.","Where is the spider and the flower? Choose all the pictures that are between them."
"Kde je vejce a pavouk? Vyber obrázek, který je mezi nimi.","Where is the egg and the spider? Choose the picture that is between them."
"Kde je komár a kelímek? Vyber obrázek, který je mezi nimi.","Where is the mosquito and the cup? Choose the picture that is between them."
"Kde je žirafa a salát? Vyber obrázek, který je mezi nimi.","Where is the giraffe and the lettuce? Choose the picture that is between them."
